Leto;Stevilo;Stadij;Vsi
1991;1266;Razsejan;6707
1992;1386;Razsejan;7134
1993;1399;Razsejan;7419
1994;1406;Razsejan;7499
1995;1450;Razsejan;7758
1996;1509;Razsejan;7808
1997;1600;Razsejan;8618
1998;1590;Razsejan;8877
1999;1637;Razsejan;9034
2000;1669;Razsejan;9165
2001;1668;Razsejan;9706
2002;1704;Razsejan;10002
2003;1843;Razsejan;10446
2004;1927;Razsejan;11059
2005;2027;Razsejan;11181
2006;2036;Razsejan;11478
2007;2097;Razsejan;12020
2008;2296;Razsejan;12531
2009;2185;Razsejan;12622
2010;2242;Razsejan;13430
2011;2232;Razsejan;13484
2012;2303;Razsejan;13647
2013;2358;Razsejan;14044
2014;2513;Razsejan;14072
2015;2447;Razsejan;14698
2016;2421;Razsejan;15186
1961;157;Podatka ne vnasamo;3164
1962;162;Podatka ne vnasamo;3276
1963;163;Podatka ne vnasamo;3330
1964;190;Podatka ne vnasamo;3399
1965;191;Podatka ne vnasamo;3463
1966;225;Podatka ne vnasamo;3784
1967;182;Podatka ne vnasamo;3845
1968;223;Podatka ne vnasamo;3774
1969;190;Podatka ne vnasamo;3823
1970;212;Podatka ne vnasamo;3971
1971;207;Podatka ne vnasamo;4108
1972;209;Podatka ne vnasamo;4273
1973;229;Podatka ne vnasamo;4387
1974;209;Podatka ne vnasamo;4426
1975;243;Podatka ne vnasamo;4713
1976;245;Podatka ne vnasamo;4777
1977;255;Podatka ne vnasamo;4795
1978;237;Podatka ne vnasamo;4914
1979;235;Podatka ne vnasamo;4958
1980;271;Podatka ne vnasamo;5214
1981;271;Podatka ne vnasamo;5372
1982;275;Podatka ne vnasamo;5215
1983;313;Podatka ne vnasamo;5312
1984;303;Podatka ne vnasamo;5508
1985;336;Podatka ne vnasamo;5556
1986;342;Podatka ne vnasamo;5899
1987;340;Podatka ne vnasamo;5895
1988;360;Podatka ne vnasamo;5986
1989;394;Podatka ne vnasamo;6320
1990;406;Podatka ne vnasamo;6509
1991;410;Podatka ne vnasamo;6707
1992;435;Podatka ne vnasamo;7134
1993;448;Podatka ne vnasamo;7419
1994;520;Podatka ne vnasamo;7499
1995;473;Podatka ne vnasamo;7758
1996;470;Podatka ne vnasamo;7808
1997;483;Podatka ne vnasamo;8618
1998;536;Podatka ne vnasamo;8877
1999;516;Podatka ne vnasamo;9034
2000;571;Podatka ne vnasamo;9165
